Trainer ID,Name,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31
120646083772,Sundance,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136715048804,Yuki,,,,,,,,,,277140,534594,817334,1219909,1493409,2125843,2443919,2786947,3473416,4120927,4277574,4419939,4423876,4427147,4444638,4880387,5981277,6184827,7003918,7318887,7820668,8798640
223955698899,cjpoo,,,,,,,,,,,,2110,7545,566855,810865,827425,1062719,1066149,1429047,1635697,1636385,2057446,2058912,2058912,2065322,2066785,2066790,2070808,2072128,2076241,2077455
228943440872,Bug,478947,493104,493190,781962,2027460,2032319,2043733,2825358,2828876,3016163,3016896,3028751,3697065,3711610,3723608,3723657,4200615,4213743,4225465,4237337,4950283,6985063,7579974,7581874,7593586,8176347,8627314,9272730,9274408,9274408,9804573
233721553867,Rat,322105,438939,791862,939548,1428888,1653551,2391287,2637966,3332422,3592224,3953109,4931860,6238811,8334456,9032487,9708574,10232726,11105443,11121593,12600540,13325623,15918445,17421717,17431615,18208326,19809290,20579510,22074451,23155557,23818501,24513951
278161596958,Hikari,6374,203521,207144,393208,396031,396039,601530,800600,803903,989560,993517,1183311,2185407,2718553,2732520,3181590,4177830,4181347,4181347,4713021,5114951,6967976,6985428,7593217,7595521,8290750,8293181,8644413,8645328,8645328,9001494
285380191808,Emma,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
314322237498,Khanosile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72105
374422366301,Julia,,,,,,,,,,,,,,,,,5226,5244,5244,5244,5244,5244,,,,,,,,,
388308583369,Eamon,,,,,,,,,,,,64593,64780,64781,64781,64781,64781,64781,64781,64781,64781,64781,64781,64781,64781,64781,64781,,,,
398008159336,WarJames,273,275,7619,19781,28593,,,,,,,,,,,,,,,,,,,,,,,,,,
414875850648,Sol Goodman,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2441772,3254426,5186628,6049684,7759357,9862251,12361168,13982331,15641811,15646379,18234445
424242746457,Guardian ,,,,,,,,,,,,,,,1497103,3453628,5237718,7012001,8687627,9546172,9557813,11434808,12377142,13255137,14217280,16118385,16139037,16635061,18398613,19263788,19334507
442527787114,goober,302087,955116,1283323,1597568,2254660,3004999,3405341,3415831,4042535,4694743,5794317,6170868,6905182,7618440,8157608,9497182,10194205,10546446,12104169,12795250,13291544,13877175,14436599,15276510,16045501,16750255,17569421,18454854,19271829,19997309,20702377
472215315233,Jiggleur,0,915587,1390050,1643832,1946732,1949862,2141628,2145543,2347618,2356353,2552304,3299980,3302148,3304906,3304916,3490254,3491004,3857342,4433812,4603706,4604269,5232859,5245004,5253610,5261858,5270294,5270323,,,,
474695464075,Vorpal,26593,501132,1074297,2144967,2635437,3953977,5663190,5713369,5926267,6164212,6409116,6422777,7753317,9131189,10065346,10958888,11775402,13453648,14762624,17017799,18571293,19345637,22448367,23214755,24822010,28109730,30214665,32609254,34250427,35919070,36840313
508062102380,iSnnak,0,797903,1012496,1963147,2603258,3198924,3485832,3491619,3754909,4713553,5007384,6204793,6215451,6231208,6751320,6762390,7046994,7049653,7272990,7273648,8091819,8094419,8094419,8094419,8094419,8204327,8206560,8554577,8555484,8555484,8555484
523906026613,Kiwi,186882,187701,187701,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534505179814,Ozu,1628614,1649951,2017441,2031768,2791201,3103557,3114951,4980630,5006013,5013290,5270498,5284763,5883802,6654337,7523095,8159927,8876177,8893169,9759217,10214437,10682062,13111345,14672945,17086660,20066846,20899489,24856278,26589276,29068107,31569640,32906204
538892445749,Monmon,399431,1686794,2482855,2764559,3390576,4076989,4824623,5498707,6477447,6799467,7139129,8705863,12028599,15216042,17465373,19836647,21718551,23653694,26213655,27382493,29407057,31226336,32750156,33975372,37152613,41085536,42688578,44285607,45094824,47635280,49552908
540404638423,TinKirin,,,,,,95289,95848,95848,95848,,,,,,,,,,,,,,,,,,,,,,
572187242656,General Radahn,,,,,,,,,,,,0,0,114483,450539,451927,451927,451927,451927,451927,451927,451927,451927,451927,451927,451927,451927,451927,451927,451927,451927
593278270506,Casatto,,,,,,,,,,,,,,,,,,,,,,,,,0,206188,402434,403099,486545,486775,486775
607601662116,Natto,,,,,,,,,,93221,358852,359859,359859,,,,,,,,,,,,,,,,,,
608904768515,AdeptManuel ,1001233,1658238,2855922,3730038,4409339,5032104,5970761,6857667,7365606,7626339,8888636,11166067,12450399,12455143,12455144,12455144,12455144,12455144,12455144,12455144,12455144,12455144,,,,,,,,,
612856830731,Koeru,1317277,1324530,4131603,5938181,7018554,8092911,8099212,9771416,10347132,12233087,13248352,16686001,22553239,25341069,27293829,29449831,30261919,34689138,36991959,38231816,40034138,42618840,46822060,51248638,52191449,53189425,55179713,57169197,60594752,61484635,64724964
631916152110,cheeyaaa,,,,,,,,,,,,,,,,,,,,,,,,,116873,268826,269356,269356,,,
641577749927,Dreadsoul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,783461,1830314,2716689
649186210706,zibai,991327,2078649,4001767,5238691,6165003,6904505,9330144,10525257,11377216,12678077,14203239,17193825,22366095,26357696,27222532,27842816,28492224,29938922,31365596,31980825,33039282,34290644,36203015,37260318,42355780,43818107,49623797,54042335,56478119,57334039,58085461
700269988038,LeeMinh,364836,366436,366436,366436,366436,366436,366436,366436,366436,366436,366436,366436,366436,,,,,,,,,,,,,,,,,,
705081600362,DaJuicyKEBAB,,,,,,,,,,,,,,,,,,,,,,,,1626062,2465604,3957488,5602037,7974295,9108229,11194091,13814199
708085500369,Kieren,0,310086,472937,630201,970297,1160256,1528314,1535806,2069315,2255877,2256599,5137680,6247233,7079930,7083012,7692919,8352341,9287280,10037365,10326947,11009756,11681635,11696384,13072876,13684022,14173653,14183319,15378358,15381472,17454796,18101627
709756565045,Night＿suki,,,,,372987,669178,670913,931265,1174843,1486455,1487671,2324300,3281792,3441047,3623532,4302305,4306788,4306794,4306794,4306794,4572556,4905546,4906702,4908656,4908663,4908663,4908663,4908663,5064067,5349912,5350754
724108383922,Ezyll,0,0,0,0,2062,2070,2070,319520,320949,320949,320949,323052,323058,2342993,6690259,7483608,9037933,9043417,9740270,9742323,12136546,13604624,15260508,16556664,16561558,16561558,16561558,16561558,16561558,16561558,16561558
746128406313,tzyliwangi,,,,,,,,,,203259,444385,2873560,2880608,3638475,4647693,4651855,5486469,6181536,6184002,7052403,7055309,7821932,7824602,7824602,7826487,7826494,7828823,7828831,8677082,9432978,9435202
761522284706,JiJi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1263585,1267009,2019598
807165595027,Poob,0,4713,4747,297647,298965,1830331,1841616,2172465,2842190,4291615,4688542,5031779,5032771,5032771,5573307,5575542,5580582,5582723,5585391,5587851,5590039,5590046,5590046,5590046,5592373,6088233,6935969,6938845,6938845,6938845,6941580
868399520825,TheGameChanger,,,,,,,,,,144333,346209,515821,791849,932729,1056210,1265420,1388449,1502844,1503250,1503250,1503250,1503250,,,,,,,,,
868699006692,Nephilim,0,0,9327,9368,9368,9368,9368,9368,9368,,,,,,,,,,,,,,,,,,,,,,
891476917970,BLOATLORD,467645,982040,2448348,3055301,3490848,3494587,3949932,4114987,4268786,5120422,5750566,6122881,6346256,6588598,7034197,7480270,8028220,8575515,8870739,9123419,9318078,9585914,9903199,10130416,10139092,10442643,10749382,10938990,11452986,12169633,12383489
909199260712,Patrick,10407,14072,14099,23531,23573,,,,,,,,,,,,,,,,,,,,,,,,,,
919188443858,Luv2Sp00ge,0,2419,2436,4490,6988,6998,9118,9161,9161,,,,,,,,,,,,,,,,,,,,,,
931871112948,Wvdidbsvusbshsi,463988,968735,1382240,1783440,1795352,2208155,2415143,2850920,3278127,3627732,4054665,4713922,4756817,6578074,7177523,7729493,8367457,8874916,9606148,10345775,10369032,11126504,11786243,12605345,13280472,13286710,13290506,13915874,13921076,13923188,14649249
950478487210,Halcyon,365958,386114,722830,1079568,1443333,1467319,1620074,1925909,2289992,2647515,2993175,3020394,3948784,4926096,5855722,6837320,7859356,8800660,9713523,10689729,11735226,13627554,14538257,14565452,15452161,16370257,17269013,18219486,19179835,19251251,20068054
978505507225,ema,0,0,0,4010,4028,4028,4028,4028,4028,,,,,,,,,,,,,,,,,,,,,,
978788243853,Ev,677542,682711,694254,1024504,1025990,1341626,1641055,1647131,1983513,1984776,1984776,1984776,2841919,3532450,4327310,4332699,5116178,5118948,5118948,5895441,7519668,9840252,10826891,11801522,11805205,14821893,16037105,19353438,21120565,23774381,23782198
982673722543,Kidux,161111,1297167,2914150,4618156,6443608,7437195,8565877,8652536,8937213,9601377,9615990,11160829,14625493,17107179,19958458,23159335,25636075,29902205,33613132,37024880,39927829,43137594,45786551,47513873,49707787,51835486,54419650,56921551,57719521,60192430,61183143
