Trainer ID,Name,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31
194402659685,Engineer,296287,309796,309870,309870,309870,309870,313695,315941,315957,662707,668466,1395994,1401750,1806616,1814190,1816167,1816186,1822406,1832993,2170578,2298362,2299626,2599951,4132378,4443518,4737854,4997332,5005452,5234570,6476154,7083045
228943440872,Bug,463948,1629065,3306017,5514521,7363857,9738791,11014356,11955130,12776330,13267134,13784831,13800015,14821192,16771648,18475034,18806008,19100507,20446205,20770336,21078294,21642897,22303104,23244295,23569743,23884277,24747613,24767807,25353756,25622343,26203849,26474641
233721553867,Rat,565497,1703407,2501716,3114785,3644063,3960015,4494034,5441243,5939621,7341956,8472748,9728635,10445349,11015001,12191960,13025398,13856304,14756680,15561935,16076696,16699187,17594080,17857666,18484876,19139970,19766407,19983057,20648371,22297525,22624791,23269876
238686252674,Freddox,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278161596958,Hikari,7907,16912,255506,934320,940930,1508712,2238429,2247417,2491685,2539782,2867622,2870065,2870065,3153155,3364732,3374260,3924656,4540350,4545544,4545544,4545544,4545544,4880451,5108040,5343608,5346153,5346153,5346153,5547263,5671648,5877083
286493463030,Kibs,0,1,1,1,150252,248276,477089,479246,479246,479246,479246,479246,479246,479246,479247,479247,479247,479247,479247,738737,741241,741241,741241,741241,741241,741241,741241,741241,741241,741241,741241
296917936628,Ghost of Kyoto,19010,426418,791194,1549075,1783917,1918369,1928174,1937058,1937120,2086944,2293851,2484779,2495379,2503891,2803431,2805824,2805824,2805824,2805824,2814712,3100753,3103656,3103656,3103656,3103656,3103656,3103656,3103656,3103656,3103656,3103656
398008159336,WarJames,10343,120427,129098,385813,388320,593567,603368,603446,852836,899762,908417,928473,928631,937304,937378,1206917,1218184,1519576,1530980,1792422,1803264,1812795,1949952,2173185,2183723,2611903,3044818,3051102,3051102,3059596,3242264
420385930948,sein,,,4512,183389,185136,185136,185136,189523,189554,189554,189554,189554,189554,189554,189554,189554,189554,,,,,,,,,,,,,,
474695464075,Vorpal,24693,1042696,1370126,2065308,2419272,3528968,4504789,5168723,7269154,7956731,8814065,9870758,10224534,11173356,11745503,12593411,13365523,13867391,15171148,16346043,16906995,16912576,17535544,18691176,19543165,20533497,21872960,22601511,23277782,25432680,26754103
487787148955,Pongsatee,382576,391134,391150,392831,781574,847464,1194450,1883061,1925328,1932375,2123001,3493485,3504317,3842005,4385380,4389699,4391468,5116086,6275658,7692324,7705895,7705895,8377563,8383037,8396980,8689224,9841517,9986795,9988120,9988120,9988120
534505179814,Ozu,345331,1150903,1169643,1494681,2180222,4446160,5143774,5514230,5818605,6265160,6883370,6890213,8707950,9154794,9567713,9582871,10269111,11474861,11485060,12635103,14392411,14780002,15878435,16295808,17827626,18550089,18888359,20004969,20638880,21094449,21112239
538892445749,Monmon,475452,1515933,2542903,4088276,4956468,6140015,6852719,7666063,8128775,8916615,10039785,10260589,11234491,12108623,13607768,14342535,15524943,16097802,16892724,17771002,18919266,19546480,20426490,21562774,22520422,23772309,24697013,25995449,26801596,28164981,29615721
