Trainer ID,Name,Day 30,Day 31
179670301608,amasawa,0,0
278161596958,Hikari,,37394
341354938387,u,902404,1729191
451914032406,Dokutah,672785,901802
538892445749,Monmon,,2214352
544368572767,ImperialGab,183133,280312
668412184126,Dashurain,,346415
798545517899,Kiryu,37193,333727
803350486522,HackerMan,,155308
957109645874,Kenichi,1674432,3001104
998857240103,AceTheKong,,275960
