Trainer ID,Name,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31
136715048804,Yuki,296090,297038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145447762932,Zidaneblueris,,,,,,,,1147086,3597752,5450211,7901597,8773646,9760675,9780672,12057722,12878379,12882886,13705177,16257602,17992357,18002711,18908268,21673609,22592943,23432101,23447006,23447023,23447023,23447023,24450348,24452607
233721553867,Rat,723297,1368495,1369358,1383867,2004792,6100237,6877527,6878556,7662112,7669082,8338155,8341949,8341953,8344859,9156183,9157417,9159997,9175882,9190096,10638083,11422632,11423430,12096133,12097175,12112192,12779514,12780317,13642083,13949224,13949607,14802671
245445038119,Gao,1417666,2925733,5406996,7124281,7775242,9698936,10714015,11927746,13351099,15251069,16856077,18530408,19530025,20489317,21406844,23665503,26282267,26829334,27557372,29146524,29289507,31259013,32265716,33877058,35456101,36255847,37066889,37816319,37981904,39459031,40686475
249277876784,Shiro,2462928,3049822,3752950,4156614,5294086,6941406,7172651,8429524,10687344,14433175,15053761,15255832,15480831,15681995,15904075,15915923,15927419,15938977,17609589,19065287,20317553,21462928,23319165,25235770,25820746,26612329,28593859,28608944,29324863,29948514,29962531
257094297053,JooaoO,3995309,6813605,11350315,14480405,17466607,19120495,22538660,24010892,26153650,26953025,31235710,36204993,38514380,39308047,40714685,44376975,46632974,48511693,51401594,54362576,57491306,59684708,63339152,66528127,68830665,72414642,72440661,75770234,79921609,89197917,90803712
316112867285,Nero,,,2418322,4070113,7422779,9728177,12788906,14457898,18690967,19572989,19574137,21310711,22226434,24814205,25684162,27466555,28368997,30101614,33429151,35094830,37221018,39530168,41100271,44071783,45708046,48130808,50426723,53761751,57287028,58992513,61508902
414875850648,Sol Goodman,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442527787114,goober,671588,1400141,2007952,2710319,4139143,5278687,6713976,7415848,8096050,8787340,9651662,11055409,12149749,12877669,13619058,14203435,14695800,15195139,16424773,17165529,17949723,18887004,19744071,20645496,21574074,22404374,24270273,25250201,26158475,26990035,27772166
474695464075,Vorpal,1669757,4701072,6239927,7803039,9348750,10968121,11808061,13455123,16674806,19204211,20733864,21473036,22193550,22768059,23635572,24315966,25202360,25894258,25923018,26782159,27411362,28330547,30695496,31506190,32995706,34593763,35397730,36220908,36993848,38528615,39381710
534505179814,Ozu,17851,20923,31179,31194,34495,37603,561671,4397831,4431340,4431422,5930672,6542542,8501459,8991378,9775534,9779565,9782455,9795659,11216477,11896474,12554371,12582845,12582886,14756458,15365884,16547103,17345584,18139132,19478166,20249742,21012810
534605476583,Shin,,,,,,48291,1685908,2309161,3875887,5658391,7161521,9555697,11318975,12957166,13867245,15819724,16580244,18501373,19968465,21585122,22458285,24601840,25495998,27441907,29269556,31972445,34602404,36322279,38054410,38986017,41703285
538892445749,Monmon,798105,1666232,3473314,5178997,5995687,6793443,8047376,9246496,10888312,11766582,13405304,14232561,14233714,14988415,16639299,17470563,19045498,21463294,24668210,28996142,29696073,30375902,31136628,32842921,33490888,34908965,36121034,36953184,37811351,38708226,40828392
570624461170,Manhattan Kape ,1350329,2326466,2556693,2559884,3006469,4569119,5844540,6268710,8375911,10339077,12325511,12807841,13971322,13973570,14493528,14496887,15671614,15673064,17974987,19311584,19325844,19588580,19847737,20470133,20471454,21422304,21423448,21435865,22848063,22849831,22849831
583847371132,cesar ,,,,318607,7662236,11220175,13209677,15589834,20528942,24384418,25080164,25081184,25884836,25886389,27612521,27615146,29080639,30893790,32618033,35060621,35696793,35697439,35697439,35697439,35697439,37157934,37159692,37159692,39926630,40731974,41642591
