Trainer ID,Name,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30
194402659685,Engineer,0,1894,1907,356702,1696452,3192427,3904305,3913195,4245621,5576469,5873440,6424562,6871649,7353992,8065721,8337093,8968644,9244324,9247347,9905108,10645538,10978434,11247366,11257752,11257871,11537448,11539968,11541883,11541903,11541903
228943440872,Bug,,918423,1958672,3205846,4522165,4609864,4993692,6227507,6747477,7125566,8913861,9654027,11552384,12634695,14295414,14730496,15980064,17715610,18328911,20266002,21256509,22843901,23594667,25275226,25635135,26303346,28184134,30180912,31284587,32169248
233721553867,Rat,8391,618916,977372,1406712,2346886,2916221,4110988,4484703,5328847,6160952,6974428,8151095,9441526,9464851,10450838,11034764,12064493,12975779,14066096,15475340,16339147,16789497,17763134,19268195,20790335,22172084,22607106,23246642,24219948,24449761
238686252674,Freddox,,,,,,,,,,,,,,,,,,,,,,,,,,916689,1443111,1630672,1980482,1984648
268264727114,Sir Arip,,,,427450,1308776,2241832,3086465,3738509,3743113,4085774,5572785,6997903,9274976,9311272,10172931,11071409,11076741,11462759,,,,,,,,,,,,
278161596958,Hikari,0,2581,275833,588124,853901,858882,1028169,1373146,1377414,1538652,1717817,2031601,2285641,2505355,2509700,2691867,2693111,2905117,2907475,3117066,3306205,3308208,3588794,3806421,4036991,4331991,4623511,4803454,4805271,4805271
286493463030,Kibs,93290,94156,94156,95442,95454,95454,95455,95455,95455,95455,95455,95455,95455,95455,95455,95455,95455,95455,95455,95455,95455,95455,95455,95455,95455,95455,95455,95455,95455,257794
296917936628,Ghost of Kyoto,275191,289479,1530064,1548152,2215209,2847989,4270863,5192694,5509810,5512799,6300992,7843716,8002284,8012302,8012370,8012370,8020870,8214118,8216267,8500728,8829599,8995264,8996641,9246927,9637820,9649773,10141500,10577232,10851488,10854719
347395922246,Asaba Harumasa,0,0,246052,552627,899953,1584361,1589665,1589665,1864264,1866911,1866911,2441969,2713964,2716962,2857722,2859035,2859035,2859035,3189091,3191272,3191272,3191272,3191272,,,,,,,
372915911184,Th1＠g0,590,595,595,595,,,,,,,,,,,,,,,,,,,,,,,,,,
398008159336,WarJames,326,253187,405989,414865,419047,424053,558068,752094,759686,982710,992836,1000484,1289977,1527971,1537284,1764574,1927718,2148648,2341923,2515049,2523941,2539052,2539180,2539180,2708218,2975430,2987880,3241796,3252141,3436444
474695464075,Vorpal,,,,,513985,793008,1742064,2782139,3002242,3346305,3351089,4620283,5152510,6134348,6905197,6914151,7378159,7986980,8409988,9137342,9591334,10436350,11253536,11630823,13490766,14947522,15809014,17438116,18683141,19421120
487787148955,Pongsatee,,,,,,,,,,,,,,,,,,,,,,,,,777128,1096251,1432704,1668384,1670767,1753017
516920299716,Cherrycatjelly ,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
534505179814,Ozu,,,569046,1302157,1683605,2028328,2400452,3119623,4518374,4805745,5349396,5706575,5887542,5889540,6575745,7316823,7903882,8297061,9741304,10514713,10520428,11418849,12963902,12986797,13312608,13326622,14063536,14083584,14764992,15853151
538892445749,Monmon,694269,1061539,1891536,2934559,3770822,3781739,5234911,5481851,5836959,6218577,7499267,7844570,8359835,9986096,11145082,12210152,13111325,13344675,14436504,15647276,16170333,16469530,16981178,18071569,19153226,19762972,20376576,20861911,21502389,22268249
544368572767,ImperialGab,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548438418075,DanielRM,247346,449395,667790,1167234,1573265,1576870,1748728,1750465,2076234,2085999,2420145,2424468,2428405,2430812,2434920,2436264,2440095,2444768,2444820,2714209,2721736,3248933,3437768,3439184,3444165,3445702,3445715,3445715,3685339,3688208
588000008956,Lcx25,,,537384,837129,1502773,1824461,1987742,1989367,2505416,2702150,2703924,2711101,2711174,2985557,2987770,3628215,3632588,3632588,3632588,3632589,3632589,3632589,3632589,,,,,,,
612856830731,Koeru,739292,2337015,2348325,2348325,2348325,2614805,3113561,3570013,4331972,4339282,4339283,4339283,4791789,5896896,5905764,5905764,5905764,5905764,6199035,6200973,6698907,6704225,7102832,7521450,8028967,8965260,10146787,11438393,12594268,13887956
